,title
5516,"Konyaku Haki sareta Reijou wo Hirotta Ore ga, Ikenai Koto wo Oshiekomu: Oishii Mono wo Tabesasete Oshare wo Sasete, Sekaiichi Shiawase na Shoujo ni Produce!"
6176,"Shinjiteita Nakama-tachi ni Dungeon Okuchi de Korosarekaketa ga Gift ""Mugen Gacha"" de Level 9999 no Nakama-tachi wo Te ni Irete Moto Party Member to Sekai ni Fukushuu & ""Zamaa!"" Shimasu!"
8164,"Kage no Eiyuu no Nichijou-tan: Yuusha no Ura de Anyaku Shiteita Saikyou no Agent. Soshiki ga Kaitai Sareta node, Shoutai Kakushite Hitonami no Nichijou wo Ouka suru."
10613,"Ryuu to Ayumu Nariagari Boukensha-dou: Youzumi toshite S-Rank Party kara Tsuihou sareta Kaifuku Majutsushi, Suterareta Saki de Saikyou no Shinryuu wo Fukkatsu sasete Shimau"
14483,"Osananajimi Kanojo no Morahara ga Hidoi nde Zetsuen Sengen shite Yatta: Jibunrashiku Ikiru Koto ni Shitara, Nazeka Tonari no Seki no Kakure Bishoujo kara Kokuhaku sareta"
15566,"Shokubutsu Monster Musume Nikki: Seijo Datta Watashi ga Uragirareta Hate ni Alraune ni Tensei shiteshimatta node, Korekara wa Kougousei wo Shinagara Shizuka ni Shokubutsu Life wo Sugoshimasu"
18234,"Souzou Renkinjutsushi wa Jiyuu wo Ouka suru: Kokyou wo Tsuihou saretara, Maou no Ohizamoto de Chouzetsu Kouka no Magic Item Tsukuri-houdai ni Narimashita"
18451,"""Sekai Saikyou no Shitsuji"" Black Shokuba wo Tsuihou sareta Ore, Koori no Reijou ni Hirowareru: Seikatsu Mahou wo Kushi shite Musou shiteitara Shiawase na Kurashi ga Hajimarimashita"
18803,"""Mou.... Hatarakitakunai n desu"": Boukensha nanka Yameteyaru. Imasara, Taiguu wo Kaeru kara to Onegaisaretemo Okotowari desu. Boku wa Zettai Hatarakimasen."
19329,"Hazure Skill ""Gacha"" de Tsuihou sareta Ore wa, Wagamama Osananajimi wo Zetsuenshi Kakusei suru: Bannou Cheat Skill wo Get shite, Mezase Rakuraku Saikyou Slow Life!"
20314,"Akuyaku Reijou to Akuyaku Reisoku ga, Deatte Koi ni Ochita nara: Nanashi no Seirei to Keiyaku shite Oidasareta Reijou wa, Kyou mo Reisoku to Kisoiatteiru you desu"
20826,Watashi yori Tsuyoi Otoko to Kekkon shitai no: Seiso na Bijin Seito Kaichou (Jitsu wa Moto Banchou) no Himitsu wo Shiru Inkya (Jitsu wa Kanojo wo Koeru Saikyou no Yankee)
23206,"Sono Munou, Jitsu wa Sekai Saikyou no Mahoutsukai: Munou to Sagesumare, Kizoku-ke kara Oidasareta ga, Gift ""Tenseisha"" ga Kakusei shite Zense no Nouryoku ga Yomigaetta"
23742,"Kamigami no Kago de Seisan Kakumei: Isekai no Katasumi de Mattari Slow Life shitetara, Naze ka Tasai na Jinzai ga Atsumatte Saikyou Kokka ga Dekitemashita"
23999,"Ningen dakedo Maougun Shitennou ni Sodaterareta Ore wa, Maou no Musume ni Aisare Shihai Zokusei no Kennou wo Ataeraremashita.: The Guardian of Princess"
24541,Yarichin no Ore ga Boukan ni Osowareteta Otonashii Classmate (Kyonyuu) wo Tasukete Kuou to Shitara Gyaku ni Kyokon Futanari Chinpo Sokuochi Shita Toki no Hanashi
24657,"(Kono Sekai wa Mou Ore ga Sukutte Tomi to Kenryoku wo Te ni Iretashi, Onna Kishi ya Onna Maou to Shiro de Tanoshiku Kurashiteru kara, Ore Igai no Yuusha wa) Mou Isekai ni Konaide Kudasai."
25236,Renai Keikenchi Zero no Otome-san: Koibito Inai Reki = Nenrei no Onna Kyoushi ga Kodomo Atsukai shitekita Toshi no Hanareta Osananajimi no Seito wo Ishiki shiteshimau Hanashi
25378,"Teihen Boukensha dakedo Mahou wo Kiwametemiru Koto ni Shita: Munou Skill kara Kami Skill ni Shinka shita ""Mahou Souzou"" to ""Item Sakusei"" de Musou suru"
25548,"Kyuutei Kajishi no Shiawase na Nichijou: Black na Shokuba wo Tsuihou sareta ga, Ringoku de Koushaku Reijou ni Dekiai sare nagara White na Seikatsu Okurimasu"
