,title,type,episodes
16829,"""Aesop"" no Ohanashi yori: Ushi to Kaeru, Yokubatta Inu",movie,1.0
4246,"""Bungaku Shoujo"" Kyou no Oyatsu: Hatsukoi",ova,1.0
9969,"""Uchuu Senkan Yamato"" to Iu Jidai: Seireki 2202-nen no Sentaku",movie,1.0
18919,#Compass 2.0: Sentou Setsuri Kaiseki System,,
6911,.hack//G.U. Trilogy: Parody Mode,special,1.0
7749,.hack//Quantum: Sore ike! Bokura no Chimuchimu-chan!!,special,3.0
7675,.hack//Tasogare no Udewa Densetsu: Offline de Aimashou,special,1.0
3965,.hack//The Movie: Sekai no Mukou ni,movie,1.0
7870,.hack//Versus: The Thanatos Report,special,1.0
6125,009 Re:Cyborg,movie,1.0
13837,009 Re:Cyborg x Zip,ona,10.0
8014,009-1: R&B,special,1.0
10088,00:08,movie,1.0
9581,10-pun de Oitsukeru: Shingeki no Kyojin,ona,1.0
10149,100-man-nen Chikyuu no Tabi: Bander Book,special,1.0
6890,1000-nen Joou: Queen Millennia,movie,1.0
14599,11:08,ona,1.0
6596,11eyes: Momoiro Genmutan,special,1.0
20576,12 Shengxiao Guanjiafu: Wangluo Shijie Lixian,tv,12.0
5481,12-sai.: Chicchana Mune no Tokimeki,tv,12.0
5362,12-sai.: Chicchana Mune no Tokimeki 2nd Season,tv,12.0
13602,15-fun de Wakaru Inazuma Eleven: Ares no Tenbin,ona,1.0
12419,15-fun de Wakaru: Kami no Tou,ona,2.0
9668,15-pun de Oitsukeru: Shingeki no Kyojin,ona,1.0
16357,16bit Sensation: Another Layer,tv,
14414,2.43 Mini Anime: Fukui-ben Kouza,ona,8.0
14210,2.43 Mini Anime: Inside Story,ona,10.0
13895,2.43 Mini Anime: Volleyball Kouza,ona,10.0
5706,2.43: Seiin Koukou Danshi Volley-bu,tv,12.0
13550,2.43: Seiin Koukou Danshi Volley-bu Mini Anime,ona,8.0
9837,20-pun de Oitsukeru: Shingeki no Kyojin,ona,1.0
10200,21-ji no Onna: Newscaster Katsuragi Miki,ova,3.0
6661,22/7: 8＋3=?,special,1.0
22234,23:60,movie,1.0
11966,3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!,movie,1.0
7755,3 Choume no Tama: Uchi no Tama Shirimasen ka?,tv,36.0
9370,3-gatsu no Lion: Ugoku! Nya Shogi,special,10.0
15072,3-nen D-gumi Glass no Kamen: Tobidase! Watashitachi no Victory Road,movie,1.0
2481,3D Kanojo: Real Girl,tv,12.0
803,3D Kanojo: Real Girl 2nd Season,tv,12.0
4409,3x3 Eyes: Seima Densetsu,ova,3.0
21396,5 Dong 32 Hao: Hesui Fan,ona,4.0
9168,8-gatsu no Symphony: Shibuya 2002-2003,movie,1.0
6922,8-shaku 8-wa Kerakumeguri: Igyou Kaikitan The Animation,ova,3.0
20207,81 Hao Nongchang: Baowei Mai Ji,movie,1.0
20354,81 Hao Nongchang: Fengkuang de Mai Ji,movie,1.0
3454,86 Special Edition: Senya ni Akaku Hinageshi no Saku,special,1.0
4991,91 Days: Mijikai Rousoku,special,1.0
3292,"91 Days: Toki no Asase/Subete no Kinou/Ashita, Mata Ashita",special,1.0
21933,A Cappella Samurai: Harmony-tai wa Edo wo Sukuu,ona,
22325,A Fu Man Youji: Wuxi Renjie,tv,80.0
22883,A Mi Luo: Ge Hai Qi Yuan,tv,13.0
22801,A Mi Luo: Kongzhong Dalu,tv,13.0
3996,A-Channel: +A-Channel,special,11.0
5561,A-Channel: Nabe wo Tabeyou,special,1.0
10488,A-ra-shi: Reborn,music,1.0
17250,AAA de Ikou!!: Yuuna & Akiko,ova,1.0
