,title,type,episodes
16063,"""Oshi no Ko"" Season 2",tv,
2939,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,tv,12.0
8203,12-sai. 2nd Season,ova,4.0
5362,12-sai.: Chicchana Mune no Tokimeki 2nd Season,tv,12.0
159,3-gatsu no Lion 2nd Season,tv,22.0
803,3D Kanojo: Real Girl 2nd Season,tv,12.0
2707,7 Seeds 2nd Season,ona,12.0
3412,A3! Season Autumn & Winter,tv,12.0
3449,A3! Season Spring & Summer,tv,12.0
21357,AOTU Xueyuan 2nd Season,ona,20.0
22270,AU: De Fannao 2nd Season,tv,26.0
22207,AU: Shenqi Luobo 2nd Season,tv,26.0
22136,AU: Shenqi Luobo 3rd Season,tv,26.0
22268,AU: Tu Zhi Lai Le 2nd Season,tv,26.0
22211,AU: Xue Kexue 2nd Season,tv,30.0
837,Aggressive Retsuko (ONA) 2nd Season,ona,10.0
899,Aggressive Retsuko (ONA) 3rd Season,ona,10.0
2226,Aggressive Retsuko (ONA) 4th Season,ona,10.0
2422,Aggressive Retsuko (ONA) 5th Season,ona,10.0
10996,Ai Zai Xiyuan Qian 2nd Season,ona,16.0
18088,Akachan Honbuchou 2nd Season,tv,8.0
19251,Akachan Honbuchou 3rd Season,tv,10.0
368,Akagami no Shirayuki-hime 2nd Season,tv,12.0
22891,Amy & Gollum 2nd Season,ona,104.0
23146,Amy & Gollum 3rd Season,ona,52.0
40,Ansatsu Kyoushitsu 2nd Season,tv,25.0
1643,Arifureta Shokugyou de Sekai Saikyou 2nd Season,tv,12.0
9799,Arifureta Shokugyou de Sekai Saikyou 2nd Season Picture Drama,ona,12.0
16076,Arifureta Shokugyou de Sekai Saikyou 3rd Season,tv,
21276,Ashuai 2nd Season,ona,34.0
21139,Ashuai 3rd Season,ona,34.0
21034,Ashuai 4th Season,ona,34.0
21059,Ashuai 5th Season,ona,34.0
20664,Ashuai 6th Season,ona,34.0
22165,Ashuai 7th Season,ona,34.0
22166,Ashuai 8th Season,ona,34.0
20892,Ashuai 9th Season,ona,
21559,BT21 Original Story 2nd Season,ona,
781,Baby Steps 2nd Season,tv,25.0
23486,Bai Bian Bu Lu Ke 2nd Season,tv,20.0
23487,Bai Bian Bu Lu Ke 3rd Season,tv,20.0
23488,Bai Bian Bu Lu Ke 4th Season,tv,20.0
23489,Bai Bian Bu Lu Ke 5th Season,tv,20.0
23411,Bai Bian Xiao Ba 2nd Season,tv,26.0
23412,Bai Bian Xiao Ba 3rd Season,tv,26.0
23496,Bai Bian Xiao Ba 4th Season,tv,26.0
23497,Bai Bian Xiao Ba 5th Season,tv,26.0
23498,Bai Bian Xiao Ba 6th Season,tv,26.0
23148,Bai Bian Xiao Ba: Chao Xue Xianfeng 2nd Season,tv,26.0
17932,Bai Gui Youeryuan 2nd Season,ona,12.0
17626,Bai Gui Youeryuan 3rd Season,ona,12.0
19581,Bai Gui Youeryuan 4th Season,ona,12.0
6249,Bai Yao Pu 2nd Season,ona,12.0
6347,Bai Yao Pu 3rd Season,ona,12.0
211,Bakuman. 2nd Season,tv,25.0
5291,Bakuman. 2nd Season Special,special,1.0
198,Bakuman. 3rd Season,tv,25.0
4454,Bakuman. 3rd Season Specials,special,2.0
13781,Balala Xiao Mo Xian: Feiyue Cai Ling Bao 2nd Season,tv,26.0
22060,Balala Xiao Mo Xian: Mofa Hai Ying Bao 2nd Season,tv,26.0
1748,BanG Dream! 2nd Season,tv,13.0
1528,BanG Dream! 3rd Season,tv,13.0
23387,Bang Bang Long Chudong 2nd Season,tv,52.0
23388,Bang Bang Long Chudong 3rd Season,tv,52.0
23485,Bang Bang Long Chudong 4th Season,tv,52.0
22492,Baozou Donghua 2nd Season,ona,10.0
22493,Baozou Donghua 3rd Season,ona,10.0
21087,Baozou Kongbu Gushi 2nd Season,ona,14.0
21640,Baozou Kongbu Gushi 3rd Season,ona,10.0
20842,Baozou Kongbu Gushi 4th Season,ona,26.0
21173,Baozou Kongbu Gushi 5th Season,ona,24.0
21029,Baozou Kongbu Gushi 6th Season,ona,10.0
21963,Baozou LOL 2nd Season,ona,12.0
22619,Baozou LOL 3rd Season,ona,13.0
5616,Bastard!! Ankoku no Hakaishin Season 2 (ONA),ona,15.0
453,Beastars 2nd Season,tv,12.0
16097,Beastars Final Season,,
3634,Berserk 2nd Season,tv,12.0
22795,Bing Ji Chaoren Kuaidi Xia 2nd Season,ona,16.0
2211,Birdie Wing: Golf Girls' Story Season 2,tv,12.0
1361,Bishoujo Senshi Sailor Moon Crystal Season III,tv,13.0
16073,Blue Lock 2nd Season,tv,
21245,Bo & To's Family 1st Season Part 2,tv,27.0
20212,Bo & To's Family 2nd Season,tv,10.0
115,Boku no Hero Academia 2nd Season,tv,25.0
152,Boku no Hero Academia 3rd Season,tv,25.0
232,Boku no Hero Academia 4th Season,tv,25.0
827,Boku no Hero Academia 5th Season,tv,25.0
181,Boku no Hero Academia 6th Season,tv,25.0
16065,Boku no Hero Academia 7th Season,tv,
16104,Boku no Kokoro no Yabai Yatsu Season 2,tv,
24410,Bubble Bubble Cook 2nd Season,tv,52.0
24962,Buffett Shenmi Julebu 2nd Season,tv,26.0
145,Bungou Stray Dogs 2nd Season,tv,12.0
191,Bungou Stray Dogs 3rd Season,tv,12.0
462,Bungou Stray Dogs 4th Season,tv,13.0
