order_id,customer_id,product_id,order_date,amount,profit,quantity,category,subcategory
O1,C2701,P834,2022-10-12,1523.6,187.07,5,Furniture,Tables
O2,C6023,P426,2024-12-26,571.26,258.85,5,Furniture,Cabinets
O3,C5910,P922,2024-01-23,161.56,198.51,10,Furniture,Cabinets
O4,C1137,P173,2021-04-23,509.63,493.6,8,Toys,Board Games
O5,C8510,P426,2024-07-09,1964.52,433.47,2,Electronics,TVs
O6,C7211,P951,2021-10-06,1923.25,406.06,4,Office Supplies,Notebooks
O7,C1549,P887,2023-05-09,1911.5,494.14,1,Toys,Board Games
O8,C1679,P834,2024-02-15,659.4,388.28,3,Clothing,Shoes
O9,C1527,P578,2024-03-24,446.29,221.15,6,Electronics,Headphones
O10,C2745,P736,2022-11-17,1427.72,402.08,10,Electronics,Headphones
O11,C6656,P354,2024-10-17,1384.79,84.41,3,Toys,Puzzles
O12,C1437,P987,2020-11-11,1190.39,222.42,10,Electronics,Laptops
O13,C5976,P479,2024-06-05,1518.21,190.17,6,Electronics,TVs
O14,C7419,P154,2024-11-28,162.55,166.06,10,Clothing,Jackets
O15,C3611,P968,2022-01-08,1429.13,366.06,3,Furniture,Tables
O16,C6370,P925,2021-10-19,279.92,264.89,5,Clothing,Shoes
O17,C2790,P648,2021-11-27,801.79,342.87,1,Toys,Action Figures
O18,C8742,P234,2024-01-31,525.61,301.07,7,Office Supplies,Staplers
O19,C3275,P555,2024-11-25,1665.14,385.09,9,Office Supplies,Staplers
O20,C4068,P530,2022-09-02,48.33,183.79,6,Furniture,Sofas
O21,C7322,P741,2022-01-11,1959.63,352.93,7,Furniture,Chairs
O22,C2183,P967,2023-01-22,137.78,330.1,5,Office Supplies,Pens
O23,C5154,P996,2024-09-10,888.82,415.2,5,Office Supplies,Pens
O24,C5518,P851,2021-08-30,147.17,228.72,8,Clothing,Shoes
O25,C5284,P125,2024-04-05,1184.29,190.09,10,Electronics,Phones
O26,C7300,P916,2024-01-01,1167.95,450.83,3,Electronics,TVs
O27,C6947,P536,2020-07-27,1254.19,408.37,10,Home Decor,Wall Art
O28,C9773,P433,2022-06-06,1458.24,466.74,1,Home Decor,Clocks
O29,C2234,P624,2022-09-29,1361.29,110.44,6,Clothing,Pants
O30,C3935,P950,2020-07-16,329.21,233.11,4,Toys,Puzzles
O31,C8683,P303,2024-09-17,1848.21,291.8,5,Toys,Dolls
O32,C3099,P934,2023-08-06,390.43,165.24,8,Toys,Board Games
O33,C8867,P741,2023-11-10,1529.07,174.61,6,Electronics,TVs
O34,C6417,P953,2024-11-21,1909.99,338.85,1,Toys,Action Figures
O35,C1125,P451,2020-12-14,1273.58,456.52,7,Furniture,Chairs
O36,C8639,P570,2024-07-12,1942.71,245.46,5,Clothing,Shoes
O37,C8866,P459,2021-10-07,1603.98,284.96,7,Office Supplies,Staplers
